Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
Europa;6;Alemanha;4;Acre;1;Terrestre;2;2015;março;3;2
Europa;6;Áustria;15;Acre;1;Terrestre;2;2015;março;3;1
Europa;6;Bélgica;21;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Dinamarca;57;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Espanha;67;Acre;1;Terrestre;2;2015;março;3;7
Europa;6;Finlândia;73;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;França;74;Acre;1;Terrestre;2;2015;março;3;1
Europa;6;Grécia;81;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Holanda;92;Acre;1;Terrestre;2;2015;março;3;2
Europa;6;Hungria;94;Acre;1;Terrestre;2;2015;março;3;2
Europa;6;Reino Unido/ Inglaterra;182;Acre;1;Terrestre;2;2015;março;3;3
Europa;6;Irlanda;117;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Itália;120;Acre;1;Terrestre;2;2015;março;3;6
Europa;6;Noruega;164;Acre;1;Terrestre;2;2015;março;3;1
Europa;6;Polônia;177;Acre;1;Terrestre;2;2015;março;3;2
Europa;6;Portugal;179;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;República Tcheca;187;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Rússia;190;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Suécia;215;Acre;1;Terrestre;2;2015;março;3;1
Europa;6;Suíça;216;Acre;1;Terrestre;2;2015;março;3;0
Europa;6;Outros países;998;Acre;1;Terrestre;2;2015;março;3;2
Oceania;7;Austrália;14;Acre;1;Terrestre;2;2015;março;3;0
Oceania;7;Nova Zelândia;166;Acre;1;Terrestre;2;2015;março;3;0
Oceania;7;Outros países;998;Acre;1;Terrestre;2;2015;março;3;0
Continente não especificado;8;Países não especificados;999;Acre;1;Terrestre;2;2015;março;3;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2015;abril;4;1
África;1;Angola;6;Acre;1;Terrestre;2;2015;abril;4;0
África;1;Cabo Verde;35;Acre;1;Terrestre;2;2015;abril;4;0
